X5,X2,X3,X4,X6,X1,X10,X7,X8,X9,X11,X12,X15,X13,X14,Y
0,41,10,0,390,2427,1302,221,218,131,0.82,794,, FC14, CA26,Mercedes
4,349,15,67,1302,2724,2252,191,213,160,0.1,-180,, FC11, CA49,BMW
67,54,15,361,5023,3154,3302,228,207,109,0.97,370,, FC11, CA50,Toyota
135,65,19,247,270,2818,1618,234,199,89,0.01,360,, FC11, CA49,BMW
2,333,1,30,4347,3371,4135,216,237,158,0.93,785,R1, FC11, CA60,GMC
0,137,11,0,1146,2696,551,237,236,128,0.79,143,, FC13, CA22,BMW
24,188,15,256,1061,2879,1841,220,250,159,0.01,-1,, FC13, CA33,BMW
-5,69,7,30,2389,2701,524,228,226,131,0.39,347,, FC13, CA51,BMW
65,234,6,313,1753,3044,1528,210,246,173,0.81,512,, FC13, CA43,Toyota
-1,52,9,60,1892,3132,408,225,221,130,0.25,-591,, FC11, CA43,Toyota
51,,22,175,582,2402,1155,188,189,132,0.5,687,, FC14, CA30,Honda
0,62,4,0,2187,3177,811,223,232,145,0.92,-906,, FC11, CA43,Toyota
11,24,9,85,2255,3077,2265,215,220,141,0.3,956,, FC13, CA52,Toyota
0,62,16,0,708,2391,886,232,205,101,0.81,694,, FC14, CA21,Mercedes
14,339,24,60,384,2932,2278,161,198,171,0.23,-104,, FC11, CA49,Toyota
8,121,11,153,2125,2823,2239,239,231,120,0.66,-184,, FC13, CA46,BMW
0,103,9,0,685,2309,721,236,228,122,0.88,-609,, FC14, CA37,Mercedes
0,317,12,0,1090,2214,636,187,229,182,0.56,-590,, FC14, CA21,Mercedes
105,189,16,270,2032,2712,2605,219,250,160,0.9,641,, FC13, CA24,Honda
2,352,5,30,2713,3366,2298,211,231,158,0.36,211,, FC11, CA58,GMC
241,96,28,450,469,2887,1872,251,187,44,0.05,604,, FC11, CA50,BMW
7,24,21,30,1128,2137,1477,203,189,115,0.79,-962,, FC14, CA37,Mercedes
-36,90,19,242,1490,3172,2316,245,206,81,0.67,-878,, FC11, CA42,Toyota
152,101,27,551,1429,2310,960,252,194,52,0.03,350,, FC14, CA22,Mercedes
91,339,21,300,3690,3416,3692,170,204,170,0.12,256,, FC11, CA59,GMC
0,305,10,0,1648,2255,960,194,235,181,0.39,16,, FC14, CA37,Mercedes
0,102,17,0,313,2036,573,246,215,91,0.41,-686,, FC14, CA21,Mercedes
-6,130,22,30,3544,3116,2452,249,222,89,0.06,-539,, FC11, CA49,Toyota
52,172,13,270,2024,3190,2781,228,246,147,0.94,479,, FC11, CA49,GMC
87,351,18,210,495,2151,446,186,207,158,0.3,674,, FC14, CA30,Honda
0,319,5,0,446,2228,979,206,235,168,0.93,983,, FC14, CA36,Mercedes
49,45,5,256,3776,3083,2850,221,229,143,0.01,62,, FC11, CA49,Toyota
34,25,15,210,2224,2955,2131,211,205,127,0.34,975,, FC13, CA42,Toyota
34,,5,216,1519,2613,4818,220,229,146,0.71,636,, FC11, CA32,Ford
27,139,14,426,1323,2321,932,240,235,122,0.44,-404,, FC14, CA22,Mercedes
95,73,25,175,190,2776,1354,239,185,62,0.97,-609,, FC11, CA49,BMW
121,58,22,240,242,2763,1652,230,187,79,0.96,679,, FC11, CA50,BMW
45,338,24,234,636,2283,492,161,198,172,0.17,251,, FC14, CA26,Honda
0,49,24,0,309,2122,882,221,180,80,0.99,949,, FC14, CA21,Mercedes
13,325,25,42,902,2269,525,151,204,189,0.36,603,, FC14, CA30,Honda
-4,261,12,67,1425,2690,1090,191,246,194,0.44,992,, FC13, CA43,BMW
64,,7,408,1959,2830,865,221,224,138,0.61,-100,, FC13, CA31,BMW
99,,22,351,474,2856,1383,229,189,82,0.1,509,, FC11, CA50,BMW
55,35,18,360,2379,2944,1513,215,197,112,0.1,25,R1, FC13, CA52,Toyota
7,62,19,30,454,2060,234,232,197,90,0.16,573,R1, FC14, CA23,Mercedes
0,,12,0,3973,3250,1940,237,219,111,0.2,-845,, FC11, CA58,GMC
55,168,19,150,1084,2236,1214,231,244,135,0.23,207,, FC14, CA23,Mercedes
100,210,21,234,1176,2281,1140,199,254,183,0.81,-741,, FC14, CA23,Mercedes
12,135,10,120,85,2208,277,236,236,130,0.68,305,, FC14, CA22,Honda
1,352,27,30,1683,2260,872,164,184,151,0.86,-49,, FC14, CA30,Mercedes
0,8,7,0,1259,2725,2233,212,227,152,0.54,-776,, FC13, CA37,BMW
-9,175,17,30,2656,3192,2704,227,247,145,0.92,973,, FC11, CA49,GMC
0,131,9,0,2794,2796,2323,235,235,132,0.08,338,, FC11, CA49,BMW
7,91,30,210,390,2907,2173,249,178,35,0.73,-755,, FC11, CA50,BMW
106,353,20,283,700,2462,1235,182,202,155,0.23,-408,, FC14, CA30,Honda
26,100,13,277,2630,3352,2475,241,222,110,0.61,-349,R1, FC11, CA59,GMC
40,313,23,124,170,2045,732,152,216,201,0.9,828,, FC14, CA30,Honda
34,,17,330,5109,2969,1847,194,206,147,0.69,-474,, FC11, CA49,BMW
124,14,28,408,824,2281,1019,181,169,112,0.81,-998,, FC14, CA30,Honda
59,107,32,108,503,2110,162,254,183,30,0.1,-887,, FC14, CA23,Mercedes
90,197,12,330,866,2595,1498,217,250,166,0.68,-68,R1, FC13, CA24,Honda
10,82,7,108,210,2697,977,230,228,132,0.3,-401,, FC13, CA37,BMW
46,0,13,242,3207,3164,2451,200,215,152,0.85,-233,, FC13, CA51,Toyota
0,175,5,0,467,2251,541,223,243,154,0.42,-675,, FC14, CA30,Mercedes
4,,14,30,2165,2777,853,188,248,198,0.23,762,, FC13, CA51,BMW
0,74,14,30,990,2073,277,236,212,104,0.41,446,, FC14, CA30,Mercedes
7,139,19,30,421,2746,361,245,231,107,0.57,-740,, FC11, CA50,BMW
92,356,16,543,1249,2482,564,193,211,154,0,-180,R3, FC14, CA26,Honda
84,,10,742,2785,3248,3326,214,218,140,0.53,-797,, FC13, CA51,Toyota
6,5,18,42,1242,2707,2190,195,203,143,0.16,732,, FC11, CA43,BMW
28,171,6,300,127,2290,301,225,243,153,0.82,571,, FC14, CA30,Mercedes
2,343,6,42,1421,3113,1300,208,231,161,1,455,, FC12, CA43,Toyota
87,,11,256,755,2566,1332,193,228,175,0.51,-149,, FC13, CA31,BMW
35,16,12,175,2064,2930,3018,209,214,140,0.21,-909,, FC13, CA53,Toyota
46,180,13,255,3834,3325,1794,224,248,153,0.98,-184,, FC13, CA58,Toyota
73,170,13,300,1022,2417,1438,229,245,145,0.17,-1,, FC14, CA26,Honda
35,75,27,60,525,2251,981,240,178,51,0.92,-115,, FC14, CA21,Mercedes
70,70,24,134,150,2714,1719,237,186,67,0.97,-5,, FC11, CA50,BMW
91,75,25,365,1316,3132,1168,241,185,60,0.79,926,, FC13, CA52,Toyota
119,103,22,240,270,2751,595,250,206,73,0.74,934,, FC11, CA50,BMW
25,292,37,85,785,2234,636,95,205,236,0.28,160,, FC14, CA30,Honda
0,266,9,0,2143,2902,1530,197,244,187,0.25,-852,, FC13, CA43,BMW
0,41,5,0,150,2289,384,220,229,145,0.85,-498,R3, FC14, CA31,Mercedes
53,165,7,382,830,2544,1176,226,242,150,0.02,-236,, FC13, CA22,Honda
209,319,10,424,1120,2881,674,194,231,177,0.74,-712,, FC13, CA52,BMW
6,18,24,30,1262,2175,859,194,183,117,0.91,-509,, FC14, CA37,Mercedes
188,207,5,459,633,2385,1684,217,245,164,0.97,-230,, FC14, CA26,Mercedes
18,105,31,42,618,2090,67,254,186,36,0.66,424,, FC14, CA23,Mercedes
-6,254,12,30,895,2060,210,193,248,193,0.18,114,, FC14, CA37,Mercedes
0,39,17,0,726,2379,1142,218,199,111,0.26,-102,, FC14, CA30,Mercedes
28,121,21,95,1513,2552,1415,250,218,85,1,952,, FC13, CA24,Honda
9,130,16,60,630,2796,150,244,229,109,0.49,-403,, FC11, CA50,BMW
50,46,15,228,2573,2763,301,223,206,112,0.62,664,, FC13, CA30,BMW
25,183,19,391,1273,2319,872,222,249,152,0.19,-731,, FC14, CA22,Mercedes
0,49,13,85,6199,2991,3613,225,211,117,0.86,-377,, FC11, CA44,Toyota
13,330,14,108,942,2443,1290,185,222,176,0.37,-831,, FC14, CA26,Honda
5,,14,30,469,2292,800,240,217,105,0.44,781,, FC14, CA24,Mercedes
58,,6,295,4394,2850,5239,225,227,137,0.8,548,, FC11, CA49,Toyota
46,286,28,60,390,2090,339,131,226,228,0.25,253,, FC14, CA30,Honda
8,92,17,30,702,2426,1173,245,211,89,0.73,739,, FC14, CA25,Mercedes
124,25,25,395,966,3200,966,199,179,106,0.86,-491,, FC11, CA42,Toyota
32,323,23,95,150,2035,716,154,209,191,0.08,-27,, FC14, CA30,Honda
62,219,17,300,1110,2609,1019,198,254,188,0.58,842,, FC13, CA24,Honda
57,17,13,604,180,2756,849,208,212,139,0.79,90,, FC13, CA31,BMW
-3,171,6,60,598,3100,1798,224,243,153,0.08,251,R3, FC11, CA43,Toyota
97,128,13,242,1222,2388,1041,242,231,116,0.04,-37,R3, FC14, CA22,Honda
85,92,34,182,240,2787,2613,249,168,18,0.06,423,R2, FC11, CA50,BMW
262,222,28,674,3283,3385,2801,174,253,202,0.83,622,R2, FC11, CA59,Toyota
0,,19,0,1110,2298,1055,235,241,128,0.54,-206,, FC14, CA23,Mercedes
8,301,1,120,190,3041,573,215,238,161,0.62,-49,, FC12, CA42,Toyota
200,196,7,457,726,2397,1597,219,246,162,0.74,499,, FC14, CA26,Mercedes
141,101,29,182,1356,2813,899,253,188,43,0.35,20,R1, FC13, CA33,BMW
22,290,18,60,365,2416,872,167,235,207,0.02,-455,, FC14, CA30,Honda
41,120,36,351,3127,3237,2965,253,185,26,0.4,-79,, FC11, CA59,Toyota
123,35,12,700,2385,3273,2304,219,214,129,0.8,729,R2, FC13, CA44,Toyota
11,49,5,277,450,2809,551,222,229,142,0.21,-798,, FC11, CA50,BMW
0,116,13,0,1065,2104,626,242,227,111,0.93,-349,, FC14, CA23,Mercedes
85,123,23,192,960,2278,1345,251,215,78,0.18,954,, FC14, CA23,Mercedes
25,,25,234,671,2450,1577,200,178,104,0.2,30,R2, FC14, CA30,Honda
8,109,19,67,2856,2792,2208,249,214,85,0.49,677,, FC11, CA49,BMW
39,332,11,379,1741,3267,782,193,225,172,0.91,-269,, FC13, CA51,Toyota
16,38,13,85,1050,2424,1158,219,212,125,0.19,59,R3, FC14, CA30,Honda
0,133,17,0,1146,2180,1146,245,230,108,0.61,-509,, FC14, CA23,Mercedes
0,64,7,0,1358,2675,698,227,226,133,0.7,975,, FC13, CA53,BMW
-8,65,12,67,2670,3004,2232,231,216,116,0.1,-43,R1, FC13, CA43,Toyota
52,52,29,90,120,2737,1277,220,165,60,0.37,437,R2, FC11, CA49,BMW
39,225,20,127,564,2103,875,188,254,197,0.75,-227,, FC14, CA26,Honda
20,45,7,426,1392,2582,1643,222,225,138,0.98,-72,, FC13, CA31,BMW
64,54,11,516,1276,3145,2565,226,216,122,0.12,787,, FC13, CA52,Toyota
144,,19,626,4435,3057,3955,217,196,107,0.74,868,, FC11, CA49,Toyota
-2,80,8,180,1092,2640,5866,231,225,127,0.89,380,, FC11, CA49,Ford
37,227,12,242,942,2522,1008,203,251,183,0.78,825,, FC13, CA22,Honda
82,117,32,162,446,2310,1846,254,192,39,0.7,770,, FC14, CA23,Mercedes
27,1,10,234,2100,2716,5581,206,222,153,0.93,229,, FC11, CA32,Ford
0,,19,0,1218,2114,1140,175,211,173,0.29,260,, FC14, CA37,Mercedes
10,261,18,30,1195,2172,808,172,247,211,0.3,-655,, FC14, CA30,Mercedes
0,85,3,0,433,2476,1261,223,234,147,0.13,-481,, FC14, CA26,Mercedes
11,65,13,85,2674,3389,2295,232,214,112,0.03,515,, FC11, CA59,GMC
185,105,41,277,876,2289,335,250,157,0,0.49,137,, FC14, CA23,Mercedes
30,114,16,108,5066,2893,4340,245,223,102,0.69,588,, FC11, CA49,Ford
16,106,26,42,553,2084,127,253,197,54,0.41,-414,, FC14, CA23,Mercedes
18,34,14,120,256,2461,1874,217,210,125,0.01,-600,, FC14, CA26,Honda
41,82,7,170,750,2828,67,230,228,130,0.09,-400,, FC11, CA49,BMW
103,204,9,330,2083,2868,780,215,248,168,0.55,-52,, FC13, CA51,BMW
-19,283,20,127,485,2278,469,161,237,214,0.62,-989,, FC14, CA30,Honda
51,341,21,297,2112,3272,3124,170,203,169,0.3,607,R3, FC11, CA59,Toyota
18,42,18,192,1565,3242,2418,220,198,107,0.72,9,, FC11, CA49,Toyota
17,26,8,256,95,2716,782,216,222,142,0.79,-627,, FC13, CA31,BMW
62,196,17,283,2148,2669,2502,214,252,167,0.63,99,, FC13, CA24,Honda
0,104,14,0,1020,2376,849,243,221,105,0.01,194,, FC14, CA26,Mercedes
70,323,5,537,1032,3181,2307,207,235,166,0.97,795,, FC13, CA51,Toyota
78,145,35,127,365,2087,390,243,210,64,0.17,504,, FC14, CA26,Honda
185,284,12,866,2250,2862,1663,187,240,192,0.91,166,, FC13, CA33,BMW
-1,,13,30,1350,2733,2297,222,210,120,0.86,-333,, FC11, CA43,BMW
0,271,9,0,1291,2076,589,196,243,187,0.81,-573,, FC14, CA37,Mercedes
0,65,14,0,633,2374,834,232,211,109,0.79,704,, FC14, CA22,Mercedes
89,356,12,283,4855,3107,2069,201,219,155,0.49,-240,, FC11, CA49,Toyota
0,101,2,0,1556,2247,1050,223,236,148,0.67,71,, FC14, CA37,Mercedes
0,104,16,0,450,2034,551,246,217,95,0.11,-906,, FC14, CA34,Mercedes
83,202,16,331,1477,2622,1961,211,253,172,0.01,-535,, FC13, CA24,Honda
50,326,5,150,228,2463,371,206,234,166,0.49,279,, FC14, CA26,Honda
0,162,6,60,2954,3217,2370,226,242,149,0.28,-37,R1, FC11, CA49,GMC
129,,22,485,2589,2763,2083,238,237,118,0.05,-397,, FC13, CA24,Honda
0,110,6,421,1871,2810,2178,230,234,138,0.36,-427,, FC11, CA32,Toyota
13,253,34,474,764,2343,825,124,238,238,0.08,824,, FC14, CA21,Honda
96,259,12,210,342,2129,379,190,247,195,0.66,904,, FC14, CA21,Honda
-2,84,5,30,3830,3275,3707,227,231,139,0.71,250,, FC11, CA58,GMC
12,338,13,85,1557,2728,1266,191,221,169,0.2,619,, FC13, CA30,BMW
0,162,23,0,1224,2121,1240,235,238,120,0.28,250,R2, FC14, CA21,Mercedes
112,203,17,726,4097,3339,2024,209,253,174,0.77,-255,, FC11, CA58,GMC
0,138,18,0,2714,2736,2252,244,231,109,0.33,691,, FC11, CA49,BMW
84,,19,256,1110,2911,360,249,220,91,0.63,-729,, FC11, CA50,BMW
5,,8,95,5346,3112,664,202,228,165,0.82,-599,, FC11, CA49,Toyota
94,58,11,499,752,3308,1172,228,218,122,0.95,-770,R1, FC13, CA59,GMC
106,87,24,216,228,2755,1891,247,194,63,0.4,16,, FC11, CA50,BMW
37,104,15,170,2405,3320,2663,245,219,99,0.59,40,, FC11, CA59,GMC
67,108,17,180,201,2308,1690,247,218,95,0.69,-350,R2, FC14, CA23,Mercedes
10,36,15,30,1262,2588,1914,218,207,121,0.21,-980,, FC13, CA33,BMW
-3,27,8,42,4604,2955,2341,217,223,142,0.87,-559,, FC11, CA43,BMW
25,,9,240,1170,3351,1433,235,229,125,0.9,-402,, FC13, CA59,GMC
6,135,5,218,3583,2824,6316,227,238,144,0.49,507,, FC11, CA40,Ford
1,,7,30,1072,2125,1355,201,236,175,0.32,-60,, FC14, CA37,Mercedes
12,118,23,30,918,2076,190,252,211,74,0.27,31,, FC14, CA21,Mercedes
214,,22,576,604,2918,1719,218,249,153,0.32,-90,, FC13, CA24,BMW
0,340,12,0,1140,2217,366,195,223,166,0.91,-224,, FC14, CA37,Mercedes
0,23,7,0,1052,2746,2202,216,225,145,0.68,-681,, FC13, CA37,BMW
169,219,6,969,2936,3371,1302,213,246,169,0.57,-828,, FC13, CA58,Toyota
51,178,31,120,524,2409,1150,216,240,133,0.93,286,, FC14, CA24,Honda
16,296,21,85,1121,2126,1288,157,229,210,0.71,-330,, FC14, CA37,Mercedes
9,34,5,212,67,2708,750,219,228,145,0.73,179,, FC13, CA37,BMW
21,,10,124,3450,3326,1932,192,238,186,0.46,-770,, FC13, CA52,Toyota
17,125,25,60,433,2258,1869,252,213,73,0.58,-130,R3, FC14, CA23,Mercedes
4,293,7,67,1294,3117,1398,200,239,178,0.8,440,, FC12, CA44,Toyota
63,310,17,272,395,2491,1803,171,226,194,0.89,444,, FC14, CA30,Honda
40,300,31,342,1739,3083,3339,121,211,222,0.47,-822,, FC11, CA49,Toyota
113,90,11,582,560,3280,1090,237,223,116,0.74,-283,, FC13, CA59,GMC
122,343,22,256,319,2443,272,170,201,166,0.17,-151,, FC14, CA30,Honda
17,180,15,150,2940,3235,2371,224,248,152,0.98,545,, FC11, CA49,GMC
143,261,6,404,1242,2326,1140,205,243,177,0.39,-840,, FC14, CA26,Mercedes
